eta,alpha,lambda,error
1.000000000000000021e-02,8.000000000000000444e-01,1.000000000000000048e-04,9.199999999999997069e-02
2.000000000000000042e-02,8.000000000000000444e-01,1.000000000000000048e-04,7.799999999999995826e-02
2.999999999999999889e-02,8.000000000000000444e-01,1.000000000000000048e-04,7.899999999999995914e-02
4.000000000000000083e-02,8.000000000000000444e-01,1.000000000000000048e-04,7.699999999999995737e-02
5.000000000000000278e-02,8.000000000000000444e-01,1.000000000000000048e-04,9.599999999999997424e-02
5.999999999999999778e-02,8.000000000000000444e-01,1.000000000000000048e-04,9.699999999999997513e-02
7.000000000000000666e-02,8.000000000000000444e-01,1.000000000000000048e-04,8.599999999999996536e-02
8.000000000000000167e-02,8.000000000000000444e-01,1.000000000000000048e-04,9.099999999999996980e-02
8.999999999999999667e-02,8.000000000000000444e-01,1.000000000000000048e-04,6.999999999999995115e-02
