eta,alpha,lamda,error
1.000000000000000021e-03,8.000000000000000444e-01,1.000000000000000048e-04,4.012786435162110976e+00
2.000000000000000042e-03,8.000000000000000444e-01,1.000000000000000048e-04,2.992218648537321002e+00
3.000000000000000062e-03,8.000000000000000444e-01,1.000000000000000048e-04,2.437894953627367300e+00
4.000000000000000083e-03,8.000000000000000444e-01,1.000000000000000048e-04,2.276867127454965001e+00
5.000000000000000104e-03,8.000000000000000444e-01,1.000000000000000048e-04,2.183606386296354174e+00
6.000000000000000125e-03,8.000000000000000444e-01,1.000000000000000048e-04,2.069194048659739771e+00
7.000000000000000146e-03,8.000000000000000444e-01,1.000000000000000048e-04,2.038368736742365073e+00
8.000000000000000167e-03,8.000000000000000444e-01,1.000000000000000048e-04,2.034778671927705673e+00
8.999999999999999320e-03,8.000000000000000444e-01,1.000000000000000048e-04,2.034151104100879515e+00
1.000000000000000021e-02,8.000000000000000444e-01,1.000000000000000048e-04,1.992788855305044571e+00
2.000000000000000042e-02,8.000000000000000444e-01,1.000000000000000048e-04,1.943216335181106258e+00
2.999999999999999889e-02,8.000000000000000444e-01,1.000000000000000048e-04,2.246830316529087934e+00
4.000000000000000083e-02,8.000000000000000444e-01,1.000000000000000048e-04,2.782877471231087085e+00
5.000000000000000278e-02,8.000000000000000444e-01,1.000000000000000048e-04,3.070253457056138835e+00
